Phase,Magnitude,,
0.474975,13.733333,,
0.475976,13.775905,,
0.476977,13.820647,,
0.477978,13.759642,,
0.478979,13.757896,,
0.47998,13.743723,,
0.480981,13.750625,,
0.481982,13.765777,,
0.482983,13.764334,,
0.483984,13.764258,,
0.484985,13.761347,,
0.485986,13.754343,,
0.486987,13.787059,,
0.487988,13.753369,,
0.488989,13.785835,,
0.48999,13.740676,,
0.490991,13.761011,,
0.491992,13.795772,,
0.492993,13.705912,,
0.493994,13.805836,,
0.494995,13.743994,,
0.495996,13.785133,,
0.496997,13.751681,,
0.497998,13.775344,,
0.498999,13.781757,,
0.5,13.777812,,
0.5,13.755052,,
0.501001,13.753541,,
0.502002,13.790374,,
0.503003,13.76475,,
0.504004,13.806914,,
0.505005,13.772215,,
0.506006,13.765464,,
0.507007,13.759156,,
0.508008,13.774499,,
0.509009,13.785529,,
0.51001,13.794696,,
0.511011,13.771495,,
0.512012,13.77572,,
0.513013,13.738301,,
0.514014,13.779698,,
0.515015,13.768258,,
0.516016,13.771855,,
0.517017,13.760909,,
0.518018,13.785626,,
0.519019,13.748505,,
0.52002,13.738339,,
0.521021,13.738673,,
0.522022,13.749537,,
0.523023,13.753732,,
0.524024,13.749979,,
0.525025,13.757171,,
0.526026,13.749715,,
0.527027,13.760641,,
0.528028,13.763972,,
0.529029,13.785921,,
0.53003,13.725639,,
0.531031,13.714642,,
0.532032,13.750901,,
0.533033,13.791879,,
0.534034,13.766516,,
0.535035,13.75723,,
0.536036,13.754494,,
0.537037,13.745975,,
0.538038,13.738204,,
0.539039,13.780246,,
0.54004,13.731442,,
0.541041,13.733646,,
0.542042,13.746938,,
0.543043,13.775507,,
0.544044,13.72075,,
0.545045,13.768547,,
0.546046,13.756945,,
0.547047,13.763793,,
0.548048,13.750999,,
0.549049,13.765431,,
0.55005,13.77282,,
0.551051,13.76184,,
0.552052,13.733298,,
0.553053,13.750609,,
0.554054,13.743756,,
0.555055,13.7394,,
0.556056,13.747866,,
0.557057,13.717887,,
0.558058,13.745779,,
0.559059,13.744567,,
0.56006,13.738207,,
0.561061,13.723819,,
0.562062,13.741433,,
0.563063,13.727013,,
0.564064,13.728909,,
0.565065,13.727668,,
0.566066,13.709857,,
0.567067,13.729109,,
0.568068,13.726224,,
0.569069,13.730379,,
0.57007,13.722182,,
0.571071,13.701126,,
0.572072,13.699184,,
0.573073,13.678544,,
0.574074,13.711512,,
0.575075,13.688759,,
0.576076,13.691106,,
0.577077,13.722291,,
0.578078,13.6833,,
0.579079,13.64888,,
0.58008,13.683402,,
0.581081,13.718691,,
0.582082,13.676141,,
0.583083,13.716328,,
0.584084,13.699203,,
0.585085,13.68038,,
0.586086,13.708793,,
0.587087,13.672785,,
0.588088,13.682084,,
0.589089,13.668036,,
0.59009,13.667091,,
0.591091,13.648559,,
0.592092,13.654873,,
0.593093,13.67059,,
0.594094,13.65518,,
0.595095,13.677123,,
0.596096,13.648685,,
0.597097,13.647557,,
0.598098,13.687502,,
0.599099,13.668698,,
0.6001,13.652058,,
0.601101,13.632456,,
0.602102,13.636469,,
0.603103,13.646229,,
0.604104,13.657851,,
0.605105,13.647874,,
0.606106,13.647286,,
0.607107,13.630305,,
0.608108,13.629868,,
0.609109,13.594411,,
0.61011,13.618813,,
0.611111,13.654056,,
0.612112,13.633698,,
0.613113,13.593249,,
0.614114,13.633448,,
0.615115,13.642981,,
0.616116,13.637286,,
0.617117,13.648866,,
0.618118,13.620361,,
0.619119,13.616604,,
